id;iscc;meta;content;data;instance;source
1;ISCC:KEC6BF6GSH67774G2DH7DTWLFEFCNMT4I4FLLYFPS5X2GFIYNZHLQOA;1110000010010111110001101001000111111101111111111111111110000110;1101000011001111111100011100111011001011001010010000101000100110;1011001001111100010001110000101010110101111000001010111110010111;0110111110100011000101010001100001101110010011101011100000111000;https://www.pexels.com/de-de/foto/stadion-arena-auditorium-alt-6937060/
2;ISCC:KECRK4SBOP3GPG6RT6TH5RWATILFCKMN2M6PI7KT6Z6JOSDSZ7WRY6Q;0001010101110010010000010111001111110110011001111001101111010001;1001111110100110011111101100011011000000100110100001011001010001;0010100110001101110100110011110011110100011111010101001111110110;0111110010010111010010000111001011001111111011010001110001111010;https://www.pexels.com/de-de/foto/lebensmittel-essen-stadt-marketing-3873787/
3;ISCC:KEC4L75HQI3I5PWF3ZYEHD7QH22GBAJHEUKXS2AJHMKBWALDBZKQNMA;1100010111111111101001111000001000110110100011101011111011000101;1101111001110000010000111000111111110000001111101011010001100000;1000000100100111001001010001010101111001011010000000100100111011;0001010000011011000000010110001100001110010101010000011010110000;https://www.pexels.com/de-de/foto/drei-weisse-keramiktopfe-mit-grunen-blattpflanzen-in-der-nahe-des-offenen-notizbuchs-mit-klickstift-oben-796602/
4;ISCC:KEC43GMD3RLZQLWDSXVGTFOKNE6MF6BVJFXGXLAIEHMYWQ7FYMCOGRA;1100110110011001100000111101110001010111100110000010111011000011;1001010111101010011010011001010111001010011010010011110011000010;1111100000110101010010010110111001101011101011000000100000100001;1101100110001011010000111110010111000011000001001110001101000100;https://www.pexels.com/de-de/foto/geoffnetes-buch-uber-lila-oberflache-1392854/
5;ISCC:KECSRU7TX527VXG5URIUWJWYOGL47FKMTG6WX77GOL7TUWLV5F254GA;0010100011010011111100111011111101110101111110101101110011011101;1010010001010001010010110010011011011000011100011001011111001111;1001010101001100100110011011110101101011111111111110011001110010;1111111100111010010110010111010111101001011101011101111000011000;https://www.pexels.com/de-de/foto/weisses-notizbuch-und-gelber-bleistift-45718/
6;ISCC:KEC7X7H375ZP776HWPWET42EUP6ADP45IAWMSVW4UE5BAXA5CWOWJEI;1111101111111100111110111111111101110010111111111111111111000111;1011001111101100010010011111001101000100101000111111110000000001;1011111110011101010000000010110011001001010101101101110010100001;0011101000010000010111000001110100010101100111010110010010010001;https://www.pexels.com/de-de/foto/offene-tur-13338850/
7;ISCC:KECQAZGKYLC7VPKHSXDXVRB2QY4G5AMDJDQTDRGBET5QEKPTKFXG76Q;0000000001100100110010101100001011000101111110101011110101000111;1001010111000111011110101100010000111010100001100011100001101110;1000000110000011010010001110000100110001110001001100000100100100;1111101100000010001010011111001101010001011011100110111111111010;https://www.pexels.com/de-de/foto/notizbuch-mit-leeren-seiten-942872/
8;ISCC:KEC3Q7N3X26576HX2ZXYNRJYSJU6EBWAM5ZFFB4KM5SL37UMVTQ6Z5I;1011100001111101101110111011111010111101110111111111100011110111;1101011001101111100001101100010100111000100100100110100111100010;0000011011000000011001110111001001010010100001111000101001100111;0110010010111101111111101000110010101100111000011110110011110101;https://www.pexels.com/de-de/foto/person-fruchte-verkauf-stall-14090057/
9;ISCC:KECTSEQD4NTTWYVP6TGRQ42GTRRTNCMCISD2NC7RAE4UVGLJWC5KWUA;0011100100010010000000111110001101100111001110110110001010101111;1111010011001101000110000111001101000110100111000110001100110110;1000100110000010010001001000011110100110100010111111000100000001;0011100101001010100110010110100110110000101110101010101101010000;https://www.pexels.com/de-de/foto/graues-flip-top-feuerzeug-78778/
10;ISCC:KECV3PFTRR562K3J6R4JRZ2GINVVDGXCZ563NHUSSREARMGYFLMHKMI;0101110110111100101100111000110001111011111011010010101101101001;1111010001111000100110001110011101000110010000110110101101010001;1001101011100010110011110111110110110110100111101001001010010100;0100100000001000101100001101100000101010110110000111010100110001;https://www.pexels.com/de-de/foto/meer-stadt-natur-sonnig-3948673/
11;ISCC:KEC5NP3F6GX7Z77TR573AAG2DK24ZZCFTERBJJGHDG4TRVFEB7I3LPI;1101011010111111011001011111000110101111111111001111111111110011;1000111101111111101100000000000011011010000110101011010111001100;1110010001000101100110010010001000010100101001001100011100011001;1011100100111000110101001010010000001111110100011011010110111101;https://www.pexels.com/de-de/foto/gruner-minivan-in-der-nahe-von-brown-wooden-crate-und-brown-food-truck-221357/
12;ISCC:KECVVHUC253V5X4OW2JULVW2SYNOAJ4FJYMU4NAOYXKVYJ3KMDL6BSY;0101101010011110100000101101011101110111010111101101111110001110;1011011010010011010001011101011011011010100101100001101011100000;0010011110000101010011100001100101001110001101000000111011000101;1101010101011100001001110110101001100000110101111110000011001011;https://www.pexels.com/de-de/foto/person-paragliding-unter-bewolktem-himmel-132429/
13;ISCC:KECRM7EPSNAU4CGF23DMHHBMGMZWHJYPSKXPPZUBMSSTSPD3YTJOGLA;0001011001111100100011111001001101000001010011100000100011000101;1101011011000110110000111001110000101100001100110011001101100011;1010011100001111100100101010111011110111111001101000000101100100;1010010100111001001111000111101111000100110100101110001100101100;https://www.pexels.com/de-de/foto/silber-und-grun-leiterplatte-1472443/
14;ISCC:KECXE5XXVMZ57OX7SLWSUNSFQDL26K3RHNGWQT5X3GWJW5ZHHIWBSWY;0111001001110110111101111010101100110011110111111011101011111111;1001001011101101001010100011011001000101100000001101011110101111;0010101101110001001110110100110101101000010011111011011111011001;1010110010011011011101110010011100111010001011000001100101011011;https://www.pexels.com/de-de/foto/graues-betongebaude-2286870/
15;ISCC:KEC5D2XLWVX77X4ETGIKN52ZVM2FFSUAFZTDWHA5GWXCLSNOGTQPCXY;1101000111101010111010111011010101101111111111111101111110000100;1001100110010000101001101111011101011001101010110011010001010010;1100101010000000001011100110011000111011000111000001110100110101;1010111000100101110010011010111000110100111000001111000101011111;https://www.pexels.com/de-de/foto/person-die-nahe-tur-innerhalb-des-gebaudes-steht-1378420/
16;ISCC:KEC7L3Z35IP2LN7PZHCXPVUUSUTGFHO22IFJGK5PI2LMDNRPDESHSCY;1111010111101111001110111110101000011111101001011011011111101111;1100100111000101011101111101011010010100100101010010011001100010;1001110111011010110100100000101010010011001010111010111101000110;1001011011000001101101100010111100011001001001000111100100001011;https://www.pexels.com/de-de/foto/weisse-wolken-955662/
